Initialising...
Starting CloudSim version 3.0
Datacenter_0 is starting...
Datacenter_1 is starting...
Broker1 is starting...
Entities started.
0.0: Broker1: Cloud Resource List received with 2 resource(s)
0.0: Broker1: Trying to Create VM #446 in Datacenter_0
0.0: Broker1: Trying to Create VM #288 in Datacenter_0
0.0: Broker1: Trying to Create VM #135 in Datacenter_0
0.0: Broker1: Trying to Create VM #320 in Datacenter_0
0.0: Broker1: Trying to Create VM #376 in Datacenter_0
0.0: Broker1: Trying to Create VM #10 in Datacenter_0
0.0: Broker1: Trying to Create VM #181 in Datacenter_0
0.0: Broker1: Trying to Create VM #495 in Datacenter_0
0.0: Broker1: Trying to Create VM #462 in Datacenter_0
0.0: Broker1: Trying to Create VM #128 in Datacenter_0
0.0: Broker1: Trying to Create VM #330 in Datacenter_0
0.0: Broker1: Trying to Create VM #599 in Datacenter_0
0.0: Broker1: Trying to Create VM #352 in Datacenter_0
0.0: Broker1: Trying to Create VM #486 in Datacenter_0
0.0: Broker1: Trying to Create VM #21 in Datacenter_0
0.0: Broker1: Trying to Create VM #74 in Datacenter_0
0.0: Broker1: Trying to Create VM #319 in Datacenter_0
0.0: Broker1: Trying to Create VM #46 in Datacenter_0
0.0: Broker1: Trying to Create VM #117 in Datacenter_0
0.0: Broker1: Trying to Create VM #410 in Datacenter_0
0.0: Broker1: Trying to Create VM #397 in Datacenter_0
0.0: Broker1: Trying to Create VM #165 in Datacenter_0
0.0: Broker1: Trying to Create VM #222 in Datacenter_0
0.0: Broker1: Trying to Create VM #203 in Datacenter_0
0.0: Broker1: Trying to Create VM #277 in Datacenter_0
0.0: Broker1: Trying to Create VM #177 in Datacenter_0
0.0: Broker1: Trying to Create VM #163 in Datacenter_0
0.0: Broker1: Trying to Create VM #318 in Datacenter_0
0.0: Broker1: Trying to Create VM #581 in Datacenter_0
0.0: Broker1: Trying to Create VM #576 in Datacenter_0
0.0: Broker1: Trying to Create VM #364 in Datacenter_0
0.0: Broker1: Trying to Create VM #22 in Datacenter_0
0.0: Broker1: Trying to Create VM #161 in Datacenter_0
0.0: Broker1: Trying to Create VM #120 in Datacenter_0
0.0: Broker1: Trying to Create VM #307 in Datacenter_0
0.0: Broker1: Trying to Create VM #27 in Datacenter_0
0.0: Broker1: Trying to Create VM #256 in Datacenter_0
0.0: Broker1: Trying to Create VM #108 in Datacenter_0
0.0: Broker1: Trying to Create VM #94 in Datacenter_0
0.0: Broker1: Trying to Create VM #162 in Datacenter_0
0.0: Broker1: Trying to Create VM #350 in Datacenter_0
0.0: Broker1: Trying to Create VM #505 in Datacenter_0
0.0: Broker1: Trying to Create VM #346 in Datacenter_0
0.0: Broker1: Trying to Create VM #444 in Datacenter_0
0.0: Broker1: Trying to Create VM #180 in Datacenter_0
0.0: Broker1: Trying to Create VM #433 in Datacenter_0
0.0: Broker1: Trying to Create VM #250 in Datacenter_0
0.0: Broker1: Trying to Create VM #266 in Datacenter_0
0.0: Broker1: Trying to Create VM #267 in Datacenter_0
0.0: Broker1: Trying to Create VM #299 in Datacenter_0
0.0: Broker1: Trying to Create VM #562 in Datacenter_0
0.0: Broker1: Trying to Create VM #595 in Datacenter_0
0.0: Broker1: Trying to Create VM #87 in Datacenter_0
0.0: Broker1: Trying to Create VM #343 in Datacenter_0
0.0: Broker1: Trying to Create VM #245 in Datacenter_0
0.0: Broker1: Trying to Create VM #380 in Datacenter_0
0.0: Broker1: Trying to Create VM #213 in Datacenter_0
0.0: Broker1: Trying to Create VM #253 in Datacenter_0
0.0: Broker1: Trying to Create VM #9 in Datacenter_0
0.0: Broker1: Trying to Create VM #467 in Datacenter_0
0.0: Broker1: Trying to Create VM #370 in Datacenter_0
0.0: Broker1: Trying to Create VM #158 in Datacenter_0
0.0: Broker1: Trying to Create VM #169 in Datacenter_0
0.0: Broker1: Trying to Create VM #478 in Datacenter_0
0.0: Broker1: Trying to Create VM #102 in Datacenter_0
0.0: Broker1: Trying to Create VM #558 in Datacenter_0
0.0: Broker1: Trying to Create VM #497 in Datacenter_0
0.0: Broker1: Trying to Create VM #436 in Datacenter_0
0.0: Broker1: Trying to Create VM #494 in Datacenter_0
0.0: Broker1: Trying to Create VM #132 in Datacenter_0
0.0: Broker1: Trying to Create VM #123 in Datacenter_0
0.0: Broker1: Trying to Create VM #68 in Datacenter_0
0.0: Broker1: Trying to Create VM #147 in Datacenter_0
0.0: Broker1: Trying to Create VM #97 in Datacenter_0
0.0: Broker1: Trying to Create VM #100 in Datacenter_0
0.0: Broker1: Trying to Create VM #26 in Datacenter_0
0.0: Broker1: Trying to Create VM #580 in Datacenter_0
0.0: Broker1: Trying to Create VM #502 in Datacenter_0
0.0: Broker1: Trying to Create VM #115 in Datacenter_0
0.0: Broker1: Trying to Create VM #205 in Datacenter_0
0.0: Broker1: Trying to Create VM #204 in Datacenter_0
0.0: Broker1: Trying to Create VM #590 in Datacenter_0
0.0: Broker1: Trying to Create VM #461 in Datacenter_0
0.0: Broker1: Trying to Create VM #574 in Datacenter_0
0.0: Broker1: Trying to Create VM #13 in Datacenter_0
0.0: Broker1: Trying to Create VM #231 in Datacenter_0
0.0: Broker1: Trying to Create VM #173 in Datacenter_0
0.0: Broker1: Trying to Create VM #234 in Datacenter_0
0.0: Broker1: Trying to Create VM #81 in Datacenter_0
0.0: Broker1: Trying to Create VM #503 in Datacenter_0
0.0: Broker1: Trying to Create VM #487 in Datacenter_0
0.0: Broker1: Trying to Create VM #32 in Datacenter_0
0.0: Broker1: Trying to Create VM #340 in Datacenter_0
0.0: Broker1: Trying to Create VM #521 in Datacenter_0
0.0: Broker1: Trying to Create VM #572 in Datacenter_0
0.0: Broker1: Trying to Create VM #493 in Datacenter_0
0.0: Broker1: Trying to Create VM #129 in Datacenter_0
0.0: Broker1: Trying to Create VM #598 in Datacenter_0
0.0: Broker1: Trying to Create VM #160 in Datacenter_0
0.0: Broker1: Trying to Create VM #11 in Datacenter_0
0.0: Broker1: Trying to Create VM #42 in Datacenter_0
0.0: Broker1: Trying to Create VM #402 in Datacenter_0
0.0: Broker1: Trying to Create VM #5 in Datacenter_0
0.0: Broker1: Trying to Create VM #211 in Datacenter_0
0.0: Broker1: Trying to Create VM #298 in Datacenter_0
0.0: Broker1: Trying to Create VM #67 in Datacenter_0
0.0: Broker1: Trying to Create VM #491 in Datacenter_0
0.0: Broker1: Trying to Create VM #66 in Datacenter_0
0.0: Broker1: Trying to Create VM #566 in Datacenter_0
0.0: Broker1: Trying to Create VM #272 in Datacenter_0
0.0: Broker1: Trying to Create VM #573 in Datacenter_0
0.0: Broker1: Trying to Create VM #442 in Datacenter_0
0.0: Broker1: Trying to Create VM #329 in Datacenter_0
0.0: Broker1: Trying to Create VM #466 in Datacenter_0
0.0: Broker1: Trying to Create VM #542 in Datacenter_0
0.0: Broker1: Trying to Create VM #540 in Datacenter_0
0.0: Broker1: Trying to Create VM #554 in Datacenter_0
0.0: Broker1: Trying to Create VM #304 in Datacenter_0
0.0: Broker1: Trying to Create VM #263 in Datacenter_0
0.0: Broker1: Trying to Create VM #323 in Datacenter_0
0.0: Broker1: Trying to Create VM #401 in Datacenter_0
0.0: Broker1: Trying to Create VM #137 in Datacenter_0
0.0: Broker1: Trying to Create VM #155 in Datacenter_0
0.0: Broker1: Trying to Create VM #34 in Datacenter_0
0.0: Broker1: Trying to Create VM #113 in Datacenter_0
0.0: Broker1: Trying to Create VM #246 in Datacenter_0
0.0: Broker1: Trying to Create VM #389 in Datacenter_0
0.0: Broker1: Trying to Create VM #560 in Datacenter_0
0.0: Broker1: Trying to Create VM #592 in Datacenter_0
0.0: Broker1: Trying to Create VM #508 in Datacenter_0
0.0: Broker1: Trying to Create VM #314 in Datacenter_0
0.0: Broker1: Trying to Create VM #577 in Datacenter_0
0.0: Broker1: Trying to Create VM #292 in Datacenter_0
0.0: Broker1: Trying to Create VM #464 in Datacenter_0
0.0: Broker1: Trying to Create VM #260 in Datacenter_0
0.0: Broker1: Trying to Create VM #406 in Datacenter_0
0.0: Broker1: Trying to Create VM #208 in Datacenter_0
0.0: Broker1: Trying to Create VM #569 in Datacenter_0
0.0: Broker1: Trying to Create VM #382 in Datacenter_0
0.0: Broker1: Trying to Create VM #40 in Datacenter_0
0.0: Broker1: Trying to Create VM #527 in Datacenter_0
0.0: Broker1: Trying to Create VM #526 in Datacenter_0
0.0: Broker1: Trying to Create VM #457 in Datacenter_0
0.0: Broker1: Trying to Create VM #134 in Datacenter_0
0.0: Broker1: Trying to Create VM #75 in Datacenter_0
0.0: Broker1: Trying to Create VM #153 in Datacenter_0
0.0: Broker1: Trying to Create VM #141 in Datacenter_0
0.0: Broker1: Trying to Create VM #565 in Datacenter_0
0.0: Broker1: Trying to Create VM #270 in Datacenter_0
0.0: Broker1: Trying to Create VM #289 in Datacenter_0
0.0: Broker1: Trying to Create VM #331 in Datacenter_0
0.0: Broker1: Trying to Create VM #583 in Datacenter_0
0.0: Broker1: Trying to Create VM #448 in Datacenter_0
0.0: Broker1: Trying to Create VM #420 in Datacenter_0
0.0: Broker1: Trying to Create VM #85 in Datacenter_0
0.0: Broker1: Trying to Create VM #166 in Datacenter_0
0.0: Broker1: Trying to Create VM #223 in Datacenter_0
0.0: Broker1: Trying to Create VM #35 in Datacenter_0
0.0: Broker1: Trying to Create VM #202 in Datacenter_0
0.0: Broker1: Trying to Create VM #3 in Datacenter_0
0.0: Broker1: Trying to Create VM #471 in Datacenter_0
0.0: Broker1: Trying to Create VM #567 in Datacenter_0
0.0: Broker1: Trying to Create VM #187 in Datacenter_0
0.0: Broker1: Trying to Create VM #368 in Datacenter_0
0.0: Broker1: Trying to Create VM #78 in Datacenter_0
